"","p1","p2","p3","p4","p5","p6","p7","p8","p9","p10","d1","d2","d3","d4","d5","d6","d7","d8","d9","d10"
"p1",0,5884,7808,27969,16544,10848,8238,12388,7365,5295,8063,8063,8883,26880,10920,2612,5000,13760,10920,3733
"p2",5850,0,7248,26011,15983,3117,2248,17540,6804,6061,18352,18352,7477,27210,4379,2883,1341,13200,4379,8940
"p3",5821,7260,0,29630,11354,12509,9614,21160,1328,9269,6138,6138,3289,30830,12581,4367,7664,6015,12581,4323
"p4",26800,26681,28550,0,37286,23472,29034,8455,28107,22075,33846,33846,29625,3404,23544,23895,23734,34502,23544,20950
"p5",16784,15969,11634,38339,0,21217,18323,29868,9725,17977,10517,10517,10015,40126,21290,14746,16372,2845,21290,12768
"p6",9289,2955,11005,24262,19741,0,1424,15791,10562,6032,22110,22110,9562,25461,2038,6351,4180,16957,2038,12379
"p7",8501,2026,9898,25548,18634,1505,0,17077,9455,6379,21003,21003,8774,26747,2766,4831,3289,15850,2766,11591
"p8",18821,18702,20572,8433,29307,15493,21056,0,20128,8307,26623,26623,21646,9539,15566,15917,15756,26523,15566,13608
"p9",7640,6825,1328,29194,9404,12073,9179,20724,0,8833,7803,7803,2633,30394,12146,5602,7228,6620,12146,5652
"p10",5277,6062,9073,15795,17808,6013,6424,8396,8629,0,20177,20177,10147,15917,6085,3722,4254,15024,6085,8799
"d1",7981,13771,5936,31723,10424,23674,16125,25843,7264,13462,0,0,8924,29620,23747,11002,12887,7050,23747,5246
"d2",7981,13771,5936,31723,10424,23674,16125,25843,7264,13462,0,0,8924,29620,23747,11002,12887,7050,23747,5246
"d3",10438,7182,3289,30162,10166,9303,8238,21692,2633,9801,9134,9134,0,31362,11973,6570,8196,7382,11973,13528
"d4",27994,28311,30181,3635,40822,25102,30665,9492,29737,16250,31069,31069,31255,0,25175,25526,25365,36132,25175,28759
"d5",11618,6481,13016,24634,21751,2338,2750,16164,12572,6406,24120,24120,11891,25834,0,8234,6216,18967,0,14708
"d6",2757,2770,5812,24948,14548,7826,4947,16477,5369,3660,16917,16917,6887,26147,7899,0,2074,11764,7899,7260
"d7",4759,1513,6537,24977,15273,4158,3364,16506,6094,4337,17642,17642,7612,26176,7928,1849,0,12489,7928,7849
"d8",14440,13625,6902,35995,2823,18873,15979,27524,7155,15633,7940,7940,7671,37549,18946,12402,14029,0,18946,9786
"d9",11618,6481,13016,24634,21751,2338,2750,16164,12572,6406,24120,24120,11891,25834,0,8234,6216,18967,0,14708
"d10",3551,8590,4155,21048,12528,13553,10944,13748,5484,8762,5262,5262,7444,27970,13626,6071,7706,8950,13626,0
