"","p1","p2","p3","p4","p5","p6","p7","p8","p9","p10","d1","d2","d3","d4","d5","d6","d7","d8","d9","d10"
"p1",0,494,557,1383,817,826,644,1148,495,671,787,787,732,1372,840,420,527,699,840,423
"p2",512,0,633,1431,894,488,348,1199,571,707,1117,1117,677,1590,606,460,296,776,606,742
"p3",649,650,0,1534,673,978,800,1302,171,820,616,616,461,1693,992,599,664,592,992,594
"p4",1417,1493,1541,0,1803,1504,1643,636,1479,1305,1817,1817,1716,294,1518,1349,1412,1685,1518,1704
"p5",842,889,725,1773,0,1217,1039,1541,642,1059,664,664,734,1887,1231,833,903,330,1231,1035
"p6",783,448,936,1445,1197,0,283,1213,874,711,1355,1355,898,1604,296,744,607,1079,296,1013
"p7",648,372,769,1582,1030,287,0,1350,707,814,1253,1253,763,1741,406,787,623,912,406,878
"p8",1114,1189,1238,615,1499,1200,1339,0,1176,925,1558,1558,1413,802,1214,1046,1108,1381,1214,1290
"p9",521,568,180,1452,587,896,718,1220,0,738,776,776,366,1611,910,512,582,469,910,773
"p10",669,725,722,1286,983,703,827,881,660,0,1141,1141,897,1309,717,531,570,865,717,824
"d1",854,1083,633,1707,687,1403,1233,1511,803,1168,0,0,1006,1645,1417,994,1116,619,1417,585
"d2",854,1083,633,1707,687,1403,1233,1511,803,1168,0,0,1006,1645,1417,994,1116,619,1417,585
"d3",691,662,480,1656,759,923,722,1424,387,942,971,971,0,1815,995,716,786,641,995,921
"d4",1447,1595,1644,350,1893,1606,1745,829,1582,1415,1723,1723,1819,0,1620,1452,1514,1787,1620,1569
"d5",826,592,947,1475,1208,327,398,1243,885,745,1431,1431,941,1634,0,831,819,1090,0,1056
"d6",384,507,508,1309,770,753,778,1077,446,492,928,928,683,1468,767,0,407,652,767,636
"d7",486,372,629,1273,891,620,632,1041,567,575,1049,1049,804,1432,731,303,0,773,731,716
"d8",770,817,676,1701,286,1145,967,1469,644,987,619,619,662,1842,1159,761,831,0,1159,1038
"d9",826,592,947,1475,1208,327,398,1243,885,745,1431,1431,941,1634,0,831,819,1090,0,1056
"d10",468,764,542,1805,951,1096,914,1409,713,894,532,532,1003,1628,1110,675,797,902,1110,0
